2a.3,2b.J8,2b.4,2b.5,2k,2r,Con1,3a,4a,5a,H77,1b.J4,2a.Jc1
754,44.3440965191927,33.8998894333472,63.0937541329588,47.8581919294786,40.4515164222441,39.1031322025373,26.8064308761612,31.3559518403614,5.95723835883304,19.733199232272,8.82677795032644,10.6652632567018,83.2131379445641
755,46.6661133419835,36.1694887327918,64.9762403784058,49.9816877239225,42.9450911764079,37.0493308097205,29.2399863729708,31.7270008550514,4.79710956441082,17.2956974732031,6.32317134375836,9.90749259522853,80.7996784390456
756,50.4481202155961,40.1294836285514,63.3870033760126,51.3699512273655,49.3604729665416,42.8618953614839,35.8797270512655,47.5143317741877,11.9494487059709,10.6392399509927,16.5355010725362,24.8511250081399,80.4035646960796
760,40.9688234941093,30.5421401459673,59.9410968408578,44.5613502500636,37.0847356420596,42.407573241871,23.4222705760385,32.5760632578321,7.54134030627266,22.2915055263549,12.1768501559124,13.3662969538925,86.5971862036292
762,40.222499971222,29.6560845835061,58.1339736523356,43.258906653732,37.0287436117669,43.86915667573,23.1757896653335,36.052886055641,5.91335025292409,20.8511254629199,12.8617082628417,15.9932924961553,87.1904217569822
763,51.7703006933268,41.2294052946758,69.4974629617173,54.8504229289014,48.2034824792296,32.5143969976308,34.4612973179053,32.1374750326773,7.00592019617754,13.2286617527758,1.40426325040299,9.45788127381552,75.6431483757114
765,46.5545552393324,36.0362032582034,61.3788705319384,48.2265753697604,44.7327209060214,42.1031923634062,31.0038778440129,42.5940580243992,6.22368525848661,12.7945603722705,12.7320753771797,20.2047800996929,82.2456294886366
766,49.6238262353754,39.0246933050561,65.665630962291,51.889430187753,47.0416162999557,37.1304805505815,33.1727409591635,38.3485433546079,4.45735842543521,10.5446370706643,7.6671119282713,15.6993680520534,78.261798573247
767,46.9538204800218,36.4122932026161,64.8502866640529,50.0672346650398,43.4616132554223,37.1275770414049,29.6853913177808,33.0053110330758,3.5489059779241,16.0684544522365,6.05332420272724,10.9276627159869,80.4573319060931
768,43.8877905867958,33.4256911931563,62.5420240379565,47.3480311334085,40.0719005404706,39.6180789094996,26.3931543358453,31.8991770622447,5.66979210035545,19.7511377948656,9.18890988159892,11.2706855801453,83.6297100005602
769,53.4274085866392,42.8386027129845,68.9305132364938,55.4959994359482,50.9798784193361,34.7563682899602,37.1158564778666,39.650762110525,8.39431069462596,6.62584674062699,8.37074381846486,17.056697438781,74.7658808955535
770,59.3619408014787,50.0524990384559,66.8311393540196,58.3170415887019,60.229315328586,52.4721611404344,47.9212821414395,63.2219177879655,28.1437470550269,20.95617763792,31.9372340159035,40.562564921142,82.3280675091939
771,48.5966232546831,38.0651779992449,66.5337067462224,51.7474272253451,45.0197722228843,35.4440404684739,31.2724236004154,32.2811221805,4.72461102571237,15.2635171379684,4.37614528200651,9.86526826998956,78.8234797652836
772,50.4364693691508,39.907096171598,68.3287897406538,53.5837632301198,46.8211173883868,33.6533708203108,33.0908467367793,31.8738356998354,6.11953804904895,14.2734161802495,2.53680533314196,9.21948348240622,76.9875960311509
773,42.8378990050402,32.4759770504514,62.0720616521401,46.5886487981215,38.7066583482191,40.4258658643229,25.1724532193729,30.648449550299,7.7720260229072,21.8498097770055,10.7197736574401,11.1662946025879,84.8959543396398
775,45.3888305737672,34.7978003782133,62.6155442692792,48.1572639117411,42.3416579895382,39.4263934653058,28.4817883116084,35.7486603133214,0.933599794814188,15.7484581287856,8.29553556487893,13.8340591857666,82.084849351493
777,40.899403223506,30.3124400662262,58.4486248045992,43.7641038479277,37.8844827225088,43.529112235994,24.0166318079054,36.7232634878064,4.97211412286526,19.8014953058546,12.4128839453097,16.2041727453953,86.5506259816673
778,44.7881328358575,34.3149659905187,59.3070766994964,46.2944798754086,43.2091521471913,44.2090430523857,29.5754136192763,43.7997738150531,7.28341889116601,14.6734887408903,14.5509611298351,21.6465188493625,84.294386585672
779,43.9914738365889,33.409417530873,61.4749988622879,46.8666783217891,40.8614622640737,40.5139464849368,27.0081932690025,35.5044916033636,2.27563392248649,17.2459744915632,9.36421468776614,14.039943201474,83.4465607723641
823,43.5217046425208,33.0260486353911,61.9571402668931,46.8661261314583,39.8536465219756,40.1284071930359,26.1193585280176,32.7783860767636,5.03747097001737,19.4546288923588,9.45134279419213,12.0665596640946,83.9361394974441
780,39.3294391040567,28.881227482887,58.2446471666971,42.8721625029716,35.5616504669154,44.0923098123789,21.8452440259936,33.7639161896411,8.29351776099833,23.2511395169638,13.7183406843758,15.0255175908434,88.1854407974035
781,42.4817366819866,31.8825042467487,58.9359919429974,44.8384278832477,40.0056009318894,43.2625542890231,26.1562601720582,39.121475870287,3.84382889801705,17.2860487807009,12.2459935575607,17.6945228935007,85.2951123825119
782,40.0017900546279,29.5472046527953,58.8520572794151,43.5186691060618,36.2413148121209,43.4429561582116,22.5252748138051,33.5246959092828,7.73900109476241,22.6617897544821,13.0381296276711,14.479802003571,87.5065949651395
783,71.8467473732697,63.8505051983903,73.7945775682443,69.1379462129072,74.3219909209476,67.5268763698777,63.4093689097778,81.7091133026628,46.7064493463626,38.607508311907,50.4334487286249,59.1008447240702,89.5353410548747
784,49.6330420758339,39.1625566912657,63.7778215073953,51.0547326451791,48.0074430054983,40.8373903867717,34.3204695348207,44.1285895086637,8.67832918234272,9.95154001644498,13.2777716786728,21.4818788146805,79.8025290709299
785,38.0219755020452,27.5292544017259,56.714014842871,41.4298026949584,34.4666122295341,45.5328085551046,20.6764210834652,35.2094807253653,8.78576267887626,23.7735502495413,14.9399223237032,16.6101563460077,89.4241903939376
787,67.1640262866449,57.5616556933953,75.2698065231221,66.453202391082,67.5406947852431,48.7942896068382,54.7573187721948,64.3310191699318,31.7371451158713,20.6345750065996,33.4919090986602,42.1524998444836,75.0148832917247
788,66.8238774172522,56.9574766180725,76.1692735675502,66.5606233199368,66.7177005170776,44.8955393983067,53.6200472086824,60.8171269098219,29.1884197025903,17.1223274271055,30.2440866888139,38.8391395753431,72.2324090439641
789,60.4067713566079,50.1620635481895,72.2090455292138,61.0070282191324,59.4588921550048,39.5829380540866,45.9651189663733,51.8395684997299,20.0005480652269,8.29186973969472,20.9554211829783,29.6074221536922,72.6612265227347
790,65.9653320916731,55.9623481131549,76.0551330162492,65.9700486265658,65.579058843343,42.7090286575583,52.3262872817364,58.4066413782023,27.2019264391984,14.7336029245319,27.9315137157773,36.4944544998762,71.2064761833177
791,78.123646327549,69.0430102246752,83.4545519415307,76.5701805484834,79.2794296408837,57.7712642000809,66.9987048903618,76.9161913001655,45.0010455820328,33.3106583397705,46.4861958404287,55.0749194258351,76.2108283888823
792,95.2016569814127,86.881928752812,96.9632437651262,92.6437310534233,97.3083436909625,74.9149627045262,85.7654086681069,96.8608655484484,65.2171790078623,53.4595170779647,66.7194019272924,75.2661444936329,83.8410762059035
793,43.0374828315328,32.4817564660039,60.9428044228622,46.1089089016791,39.7066965621924,41.0445488548837,25.8823605960796,34.6481453556643,3.78341899897985,18.6961394185515,10.0116744810529,13.6907357600386,84.3702811141131
794,84.6198335700417,74.5700416125794,94.1221542874339,84.5764097968376,84.0636006701766,43.76132948125,70.6369925249764,69.0219299593853,43.812629106143,29.1223113372227,41.9880311408775,49.560277077871,58.64584455627
795,77.8006416101089,68.4845328537348,84.0883303460613,76.5669346212611,78.6121760137399,54.5168049868366,66.0584933068624,74.2342864544053,43.0616176796578,30.7905386673521,44.0850800069822,52.602516993839,73.3151702773136
796,43.4659990052886,32.975282787384,61.9401394962923,46.8294880865141,39.77702682925,40.1581773136542,26.0496151952906,32.6856619960521,5.17146095683479,19.5782163868233,9.5165930553998,12.0281913279341,83.9992177397481
797,75.3055250452119,65.5680902090452,83.573121119624,74.7393023274422,75.4179592022099,47.5607342316637,62.395769290701,67.5480191582419,37.6709381904962,24.4805933982949,37.8749679397521,46.244672295445,68.804239607931
798,63.6447389975695,53.0675301675987,78.4378965699801,65.5089660403394,61.2387331781258,28.5672401519039,47.3708299432695,42.938441128164,18.4847201445501,4.84266552630244,14.7264790202763,22.2403896859362,65.1475215800856
799,89.1644315558914,80.3084482011412,93.1069654522667,87.2494578246839,90.6124661965044,65.1435735683868,78.4964438920511,87.2143324627728,56.3945600652782,44.0350438089798,57.3815571779712,65.8443641314856,76.6277305968021
