2a.3,2b.J8,2b.4,2b.5,2k,2r,Con1,3a,4a,5a,H77,1b.J4,2a.Jc1
754,43.38,6.49,63.89,56.27,9.32,4.77,nan,22.34,0.4,3.8,nan,11.17,63.63
755,56.72,10.54,63.28,41.57,50.59,10.09,nan,30.43,1.12,15.58,nan,9.87,66.91
756,64.84,61.95,63.94,51.35,77.29,40.36,nan,71.27,6.0,25.91,nan,10.06,100.0
760,52.81,5.86,61.16,nan,9.23,4.44,nan,19.18,0.25,5.72,nan,1.37,63.18
762,42.78,27.2,31.36,48.74,28.06,32.42,nan,40.23,0.36,6.59,nan,1.7,86.09
763,74.44,29.31,54.97,71.88,86.06,21.89,nan,36.6,4.13,18.12,nan,8.45,98.44
765,51.4,41.05,59.94,70.78,47.55,34.03,nan,64.24,7.83,10.9,nan,18.1,100.0
766,58.84,15.94,59.8,73.98,78.71,34.01,nan,65.02,3.88,22.9,nan,6.26,73.07
767,37.62,7.57,61.5,71.83,24.54,6.6,nan,46.85,0.27,2.99,nan,1.26,57.19
768,35.14,9.49,65.03,49.92,10.66,5.0,nan,32.46,0.81,3.85,nan,1.45,63.59
769,64.75,35.4,96.45,51.85,92.61,28.32,nan,71.87,3.69,18.67,nan,7.48,96.69
770,66.18,61.65,100.0,77.52,68.74,87.81,nan,75.67,22.3,27.99,nan,29.91,99.05
771,67.33,18.67,70.2,65.78,52.97,16.54,nan,38.32,2.16,5.52,nan,4.99,100.0
772,73.74,21.77,85.11,85.97,51.67,28.61,nan,59.27,4.97,25.27,nan,4.23,100.0
773,44.5,17.17,60.61,68.92,9.11,10.2,nan,22.58,2.19,6.95,nan,9.89,94.19
775,63.97,13.48,56.98,66.97,31.12,15.62,nan,54.68,1.04,8.21,nan,10.9,86.63
777,59.46,7.81,100.0,nan,54.88,45.4,nan,49.43,2.19,15.62,nan,10.22,88.15
778,67.49,26.81,87.34,nan,69.81,57.74,nan,69.42,9.86,14.18,nan,5.71,76.04
779,69.6,39.54,100.0,nan,67.14,55.54,nan,46.56,3.8,19.07,nan,5.54,98.56
823,59.96,46.72,73.58,nan,76.41,63.21,nan,19.4,5.6,13.24,nan,7.64,88.28
780,30.74,15.57,75.02,nan,13.34,11.03,nan,39.23,5.44,16.52,nan,1.97,58.95
781,50.75,32.42,82.54,nan,59.93,49.57,nan,58.02,4.08,20.35,nan,8.34,67.61
782,46.52,7.25,69.92,nan,7.59,6.28,nan,26.92,0.41,7.53,nan,7.35,64.75
783,72.36,55.1,83.53,57.06,93.43,71.81,55.28,51.41,42.62,30.42,72.09,77.14,90.96
784,50.15,44.22,43.45,54.11,23.15,35.3,45.42,42.24,9.91,4.34,11.53,29.71,64.96
785,21.91,23.08,19.42,15.89,14.01,7.02,22.83,21.23,6.77,17.83,8.67,15.93,48.83
787,70.99,63.38,45.13,93.57,61.44,49.0,52.49,48.81,30.45,5.49,24.87,78.35,73.89
788,71.71,68.64,52.8,70.59,61.03,45.39,76.41,71.06,23.59,6.52,18.74,37.18,74.44
789,43.83,72.05,54.98,64.48,51.54,36.03,66.18,61.54,13.37,5.98,12.07,29.5,71.26
790,61.17,47.53,64.5,65.8,66.61,37.63,56.28,52.34,28.6,6.2,63.18,27.9,60.13
